"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"10801";"T001540";"CRI1122";"GM0453";"2011JJ00";"     320";"      14";"     4.7";"      15";"     4.1";"      20"
"10802";"T001540";"CRI1122";"GM0453";"2012JJ00";"     245";"      13";"     3.7";"      15";"     6.1";"      25"
"10803";"T001540";"CRI1122";"GM0453";"2013JJ00";"     230";"      12";"     3.5";"      10";"     3.4";"      15"
"10804";"T001540";"CRI1122";"GM0453";"2014JJ00";"     265";"      13";"     3.9";"      15";"     5.3";"      25"
"10805";"T001540";"CRI1122";"GM0453";"2015JJ00";"     210";"      13";"     3.2";"       5";"     1.4";"       5"
"10806";"T001540";"CRI1122";"GM0453";"2016JJ00";"     235";"      18";"     3.5";"      15";"     6.3";"      25"
"10807";"T001540";"CRI1122";"GM0453";"2017JJ00";"     180";"      16";"     2.7";"       5";"     3.3";"       5"
"10808";"T001540";"CRI1122";"GM0453";"2018JJ00";"     120";"      12";"     1.7";"       0";"     0.0";"       0"
"10809";"T001540";"CRI1122";"GM0453";"2019JJ00";"     145";"      15";"     2.1";"       0";"     0.0";"       0"
"10810";"T001540";"CRI1122";"GM0453";"2020JJ00";"     185";"      19";"     2.7";"       5";"     2.7";"      10"
"10811";"T001540";"CRI1122";"GM0453";"2021JJ00";"     180";"      19";"     2.6";"       5";"     2.2";"       5"
"10812";"T001540";"CRI1122";"GM0983";"2010JJ00";"    1075";"      24";"    10.7";"      45";"     4.4";"      75"
"10813";"T001540";"CRI1122";"GM0983";"2011JJ00";"    1075";"      23";"    10.8";"      45";"     4.2";"      65"
"10814";"T001540";"CRI1122";"GM0983";"2012JJ00";"    1385";"      27";"    13.9";"      55";"     4.0";"      70"
"10815";"T001540";"CRI1122";"GM0983";"2013JJ00";"    1270";"      26";"    12.7";"      60";"     4.8";"      75"
"10816";"T001540";"CRI1122";"GM0983";"2014JJ00";"    1150";"      27";"    11.5";"      45";"     3.9";"      60"
"10817";"T001540";"CRI1122";"GM0983";"2015JJ00";"    1225";"      29";"    12.2";"      70";"     5.6";"      80"
"10818";"T001540";"CRI1122";"GM0983";"2016JJ00";"     825";"      22";"     8.2";"      35";"     4.5";"      50"
"10819";"T001540";"CRI1122";"GM0983";"2017JJ00";"     540";"      17";"     5.4";"      15";"     3.1";"      25"
"10820";"T001540";"CRI1122";"GM0983";"2018JJ00";"     640";"      21";"     6.3";"      35";"     5.1";"      45"
"10821";"T001540";"CRI1122";"GM0983";"2019JJ00";"     620";"      21";"     6.1";"      30";"     4.5";"      35"
"10822";"T001540";"CRI1122";"GM0983";"2020JJ00";"     605";"      23";"     5.9";"      30";"     5.3";"      40"
"10823";"T001540";"CRI1122";"GM0983";"2021JJ00";"     625";"      26";"     6.1";"      15";"     2.7";"      30"
"10824";"T001540";"CRI1122";"GM0984";"2010JJ00";"     545";"      28";"    12.8";"      20";"     3.8";"      30"
"10825";"T001540";"CRI1122";"GM0984";"2011JJ00";"     565";"      29";"    13.2";"      20";"     3.9";"      35"
"10826";"T001540";"CRI1122";"GM0984";"2012JJ00";"     535";"      32";"    12.5";"      20";"     3.9";"      30"
"10827";"T001540";"CRI1122";"GM0984";"2013JJ00";"     445";"      26";"    10.4";"      25";"     5.8";"      35"
"10828";"T001540";"CRI1122";"GM0984";"2014JJ00";"     460";"      31";"    10.6";"      25";"     5.7";"      30"
"10829";"T001540";"CRI1122";"GM0984";"2015JJ00";"     415";"      31";"     9.7";"      25";"     5.5";"      25"
"10830";"T001540";"CRI1122";"GM0984";"2016JJ00";"     385";"      32";"     8.9";"      15";"     3.6";"      15"
"10831";"T001540";"CRI1122";"GM0984";"2017JJ00";"     365";"      34";"     8.3";"       5";"     1.9";"      10"
"10832";"T001540";"CRI1122";"GM0984";"2018JJ00";"     280";"      32";"     6.5";"      10";"     4.3";"      15"
"10833";"T001540";"CRI1122";"GM0984";"2019JJ00";"     180";"      23";"     4.1";"       5";"     3.4";"       5"
"10834";"T001540";"CRI1122";"GM0984";"2020JJ00";"     220";"      29";"     5.0";"       0";"     0.0";"       0"
"10835";"T001540";"CRI1122";"GM0984";"2021JJ00";"     210";"      33";"     4.8";"       5";"     1.9";"       5"
"10836";"T001540";"CRI1122";"GM0620";"2010JJ00";"      55";"      11";"       .";"       0";"     0.0";"       0"
"10837";"T001540";"CRI1122";"GM0620";"2011JJ00";"      70";"      11";"       .";"       0";"     0.0";"       0"
"10838";"T001540";"CRI1122";"GM0620";"2012JJ00";"      60";"      10";"       .";"       5";"     6.7";"       5"
"10839";"T001540";"CRI1122";"GM0620";"2013JJ00";"      45";"       9";"       .";"       0";"     0.0";"       0"
"10840";"T001540";"CRI1122";"GM0620";"2014JJ00";"      50";"      10";"       .";"       0";"     0.0";"       0"
"10841";"T001540";"CRI1122";"GM0620";"2015JJ00";"      50";"      12";"       .";"       0";"     0.0";"       0"
"10842";"T001540";"CRI1122";"GM0620";"2016JJ00";"      45";"      13";"       .";"       0";"     0.0";"       0"
"10843";"T001540";"CRI1122";"GM0620";"2017JJ00";"      35";"      10";"       .";"       0";"     0.0";"       0"
"10844";"T001540";"CRI1122";"GM0620";"2018JJ00";"      45";"      12";"       .";"       0";"     0.0";"       0"
"10845";"T001540";"CRI1122";"GM0620";"2019JJ00";"";"";"";"";"";""
"10846";"T001540";"CRI1122";"GM0620";"2020JJ00";"";"";"";"";"";""
"10847";"T001540";"CRI1122";"GM0620";"2021JJ00";"";"";"";"";"";""
"10848";"T001540";"CRI1122";"GM1961";"2010JJ00";"";"";"";"";"";""
"10849";"T001540";"CRI1122";"GM1961";"2011JJ00";"";"";"";"";"";""
"10850";"T001540";"CRI1122";"GM1961";"2012JJ00";"";"";"";"";"";""
"10851";"T001540";"CRI1122";"GM1961";"2013JJ00";"";"";"";"";"";""
"10852";"T001540";"CRI1122";"GM1961";"2014JJ00";"";"";"";"";"";""
"10853";"T001540";"CRI1122";"GM1961";"2015JJ00";"";"";"";"";"";""
"10854";"T001540";"CRI1122";"GM1961";"2016JJ00";"";"";"";"";"";""
"10855";"T001540";"CRI1122";"GM1961";"2017JJ00";"";"";"";"";"";""
"10856";"T001540";"CRI1122";"GM1961";"2018JJ00";"";"";"";"";"";""
"10857";"T001540";"CRI1122";"GM1961";"2019JJ00";"      45";"       8";"       .";"       0";"     0.0";"       0"
"10858";"T001540";"CRI1122";"GM1961";"2020JJ00";"      60";"       9";"       .";"       0";"     0.0";"       0"
"10859";"T001540";"CRI1122";"GM1961";"2021JJ00";"      65";"      12";"       .";"       0";"     0.0";"       0"
"10860";"T001540";"CRI1122";"GM0622";"2010JJ00";"     405";"      14";"     5.8";"      15";"     4.2";"      20"
"10861";"T001540";"CRI1122";"GM0622";"2011JJ00";"     470";"      15";"     6.6";"      20";"     4.5";"      30"
"10862";"T001540";"CRI1122";"GM0622";"2012JJ00";"     435";"      15";"     6.1";"      15";"     3.9";"      15"
"10863";"T001540";"CRI1122";"GM0622";"2013JJ00";"     485";"      17";"     6.9";"      35";"     6.8";"      55"
"10864";"T001540";"CRI1122";"GM0622";"2014JJ00";"     760";"      27";"    10.7";"      25";"     3.4";"      30"
"10865";"T001540";"CRI1122";"GM0622";"2015JJ00";"     540";"      20";"     7.5";"      25";"     5.0";"      35"
"10866";"T001540";"CRI1122";"GM0622";"2016JJ00";"     670";"      24";"     9.3";"      30";"     4.6";"      35"
"10867";"T001540";"CRI1122";"GM0622";"2017JJ00";"     450";"      21";"     6.3";"      10";"     2.7";"      15"
"10868";"T001540";"CRI1122";"GM0622";"2018JJ00";"     360";"      20";"     5.0";"       5";"     1.9";"      10"
"10869";"T001540";"CRI1122";"GM0622";"2019JJ00";"     340";"      19";"     4.7";"      10";"     3.2";"      15"
"10870";"T001540";"CRI1122";"GM0622";"2020JJ00";"     340";"      18";"     4.6";"       5";"     1.5";"      10"
"10871";"T001540";"CRI1122";"GM0622";"2021JJ00";"     310";"      22";"     4.2";"       5";"     1.6";"      10"
"10872";"T001540";"CRI1122";"GM0048";"2010JJ00";"      60";"      15";"       .";"       5";"     8.3";"       5"
"10873";"T001540";"CRI1122";"GM0048";"2011JJ00";"      50";"      11";"       .";"       5";"     8.2";"       5"
"10874";"T001540";"CRI1122";"GM0048";"2012JJ00";"      50";"      13";"       .";"       0";"     0.0";"       0"
"10875";"T001540";"CRI1122";"GM0048";"2013JJ00";"      30";"       9";"       .";"       5";"    16.1";"       5"
"10876";"T001540";"CRI1122";"GM0048";"2014JJ00";"      30";"       9";"       .";"       0";"     0.0";"       5"
"10877";"T001540";"CRI1122";"GM0048";"2015JJ00";"      30";"       5";"       .";"       5";"    14.3";"       5"
"10878";"T001540";"CRI1122";"GM0048";"2016JJ00";"      35";"       5";"       .";"       0";"     0.0";"       0"
"10879";"T001540";"CRI1122";"GM0048";"2017JJ00";"      15";"       5";"       .";"       0";"     0.0";"       0"
"10880";"T001540";"CRI1122";"GM0048";"2018JJ00";"";"";"";"";"";""
"10881";"T001540";"CRI1122";"GM0048";"2019JJ00";"";"";"";"";"";""
"10882";"T001540";"CRI1122";"GM0048";"2020JJ00";"";"";"";"";"";""
"10883";"T001540";"CRI1122";"GM0048";"2021JJ00";"";"";"";"";"";""
"10884";"T001540";"CRI1122";"GM0096";"2010JJ00";"      10";"      18";"       .";"       0";"     0.0";"       0"
"10885";"T001540";"CRI1122";"GM0096";"2011JJ00";"      20";"      23";"       .";"       0";"     0.0";"       0"
"10886";"T001540";"CRI1122";"GM0096";"2012JJ00";"       5";"       8";"       .";"       0";"     0.0";"       0"
"10887";"T001540";"CRI1122";"GM0096";"2013JJ00";"       5";"       7";"       .";"       0";"     0.0";"       0"
"10888";"T001540";"CRI1122";"GM0096";"2014JJ00";"      20";"      27";"       .";"       0";"     0.0";"       0"
"10889";"T001540";"CRI1122";"GM0096";"2015JJ00";"       5";"       9";"       .";"       0";"     0.0";"       0"
"10890";"T001540";"CRI1122";"GM0096";"2016JJ00";"       0";"       0";"     0.0";"       0";"     0.0";"       0"
"10891";"T001540";"CRI1122";"GM0096";"2017JJ00";"       5";"      13";"       .";"       0";"     0.0";"       0"
"10892";"T001540";"CRI1122";"GM0096";"2018JJ00";"       5";"      25";"       .";"       0";"     0.0";"       0"
"10893";"T001540";"CRI1122";"GM0096";"2019JJ00";"       5";"      14";"       .";"       0";"     0.0";"       0"
"10894";"T001540";"CRI1122";"GM0096";"2020JJ00";"       5";"      21";"       .";"       0";"     0.0";"       0"
"10895";"T001540";"CRI1122";"GM0096";"2021JJ00";"       5";"      11";"       .";"       0";"     0.0";"       0"
"10896";"T001540";"CRI1122";"GM0718";"2010JJ00";"     410";"      25";"     9.1";"      15";"     3.2";"      20"
"10897";"T001540";"CRI1122";"GM0718";"2011JJ00";"     475";"      28";"    10.6";"      20";"     4.0";"      25"
"10898";"T001540";"CRI1122";"GM0718";"2012JJ00";"     310";"      22";"     6.9";"      10";"     2.9";"      10"
"10899";"T001540";"CRI1122";"GM0718";"2013JJ00";"     270";"      20";"     6.1";"      10";"     3.3";"      10"
"10900";"T001540";"CRI1122";"GM0718";"2014JJ00";"     405";"      29";"     9.2";"      20";"     5.2";"      35"
"10901";"T001540";"CRI1122";"GM0718";"2015JJ00";"     280";"      22";"     6.3";"      15";"     5.0";"      15"
"10902";"T001540";"CRI1122";"GM0718";"2016JJ00";"     255";"      27";"     5.7";"       5";"     1.6";"       5"
"10903";"T001540";"CRI1122";"GM0718";"2017JJ00";"     180";"      24";"     4.1";"       5";"     3.9";"      10"
"10904";"T001540";"CRI1122";"GM0718";"2018JJ00";"     155";"      22";"     3.5";"       5";"     4.5";"      10"
"10905";"T001540";"CRI1122";"GM0718";"2019JJ00";"     165";"      22";"     3.7";"      10";"     6.1";"      15"
"10906";"T001540";"CRI1122";"GM0718";"2020JJ00";"     135";"      18";"     3.0";"       5";"     2.2";"       5"
"10907";"T001540";"CRI1122";"GM0718";"2021JJ00";"     145";"      25";"     3.3";"       5";"     4.1";"      10"
"10908";"T001540";"CRI1122";"GM0623";"2010JJ00";"      25";"      14";"       .";"       0";"     0.0";"       0"
"10909";"T001540";"CRI1122";"GM0623";"2011JJ00";"      20";"      11";"       .";"       0";"     0.0";"       0"
"10910";"T001540";"CRI1122";"GM0623";"2012JJ00";"       5";"       5";"       .";"       0";"     0.0";"       0"
"10911";"T001540";"CRI1122";"GM0623";"2013JJ00";"      15";"      14";"       .";"       0";"     0.0";"       5"
"10912";"T001540";"CRI1122";"GM0623";"2014JJ00";"      20";"      17";"       .";"       0";"     0.0";"       0"
"10913";"T001540";"CRI1122";"GM0623";"2015JJ00";"";"";"";"";"";""
"10914";"T001540";"CRI1122";"GM0623";"2016JJ00";"";"";"";"";"";""
"10915";"T001540";"CRI1122";"GM0623";"2017JJ00";"";"";"";"";"";""
"10916";"T001540";"CRI1122";"GM0623";"2018JJ00";"";"";"";"";"";""
"10917";"T001540";"CRI1122";"GM0623";"2019JJ00";"";"";"";"";"";""
"10918";"T001540";"CRI1122";"GM0623";"2020JJ00";"";"";"";"";"";""
"10919";"T001540";"CRI1122";"GM0623";"2021JJ00";"";"";"";"";"";""
"10920";"T001540";"CRI1122";"GM0986";"2010JJ00";"      50";"      19";"       .";"       0";"     0.0";"       0"
"10921";"T001540";"CRI1122";"GM0986";"2011JJ00";"      45";"      13";"       .";"       0";"     0.0";"       5"
"10922";"T001540";"CRI1122";"GM0986";"2012JJ00";"      40";"      14";"       .";"       0";"     0.0";"       0"
"10923";"T001540";"CRI1122";"GM0986";"2013JJ00";"      30";"      10";"       .";"       0";"     0.0";"       0"
"10924";"T001540";"CRI1122";"GM0986";"2014JJ00";"      20";"       8";"       .";"       0";"     0.0";"       0"
"10925";"T001540";"CRI1122";"GM0986";"2015JJ00";"      20";"       9";"       .";"       0";"     0.0";"       5"
"10926";"T001540";"CRI1122";"GM0986";"2016JJ00";"      30";"      13";"       .";"       0";"     0.0";"       0"
"10927";"T001540";"CRI1122";"GM0986";"2017JJ00";"      15";"       8";"       .";"       0";"     0.0";"       0"
"10928";"T001540";"CRI1122";"GM0986";"2018JJ00";"      15";"       8";"       .";"       0";"     0.0";"       0"
"10929";"T001540";"CRI1122";"GM0986";"2019JJ00";"      10";"       7";"       .";"       0";"     0.0";"       0"
"10930";"T001540";"CRI1122";"GM0986";"2020JJ00";"      10";"       8";"       .";"       0";"     0.0";"       0"
"10931";"T001540";"CRI1122";"GM0986";"2021JJ00";"      20";"      26";"       .";"       0";"     0.0";"       0"
"10932";"T001540";"CRI1122";"GM0626";"2010JJ00";"      75";"      12";"       .";"       0";"     0.0";"       0"
"10933";"T001540";"CRI1122";"GM0626";"2011JJ00";"     120";"      16";"     4.9";"       0";"     0.0";"       0"
"10934";"T001540";"CRI1122";"GM0626";"2012JJ00";"     135";"      17";"     5.5";"       0";"     0.0";"       0"
"10935";"T001540";"CRI1122";"GM0626";"2013JJ00";"     115";"      19";"     4.6";"       0";"     0.0";"       0"
"10936";"T001540";"CRI1122";"GM0626";"2014JJ00";"      90";"      18";"       .";"       5";"     4.4";"       5"
"10937";"T001540";"CRI1122";"GM0626";"2015JJ00";"      85";"      18";"       .";"       5";"     3.6";"       5"
"10938";"T001540";"CRI1122";"GM0626";"2016JJ00";"      85";"      19";"       .";"       5";"     3.6";"       5"
"10939";"T001540";"CRI1122";"GM0626";"2017JJ00";"     145";"      31";"     5.6";"       5";"     2.1";"       5"
"10940";"T001540";"CRI1122";"GM0626";"2018JJ00";"      95";"      27";"     3.8";"       5";"     3.1";"       5"
"10941";"T001540";"CRI1122";"GM0626";"2019JJ00";"      60";"      20";"       .";"       0";"     0.0";"       0"
"10942";"T001540";"CRI1122";"GM0626";"2020JJ00";"      85";"      27";"       .";"       5";"     3.6";"       5"
"10943";"T001540";"CRI1122";"GM0626";"2021JJ00";"      60";"      20";"       .";"       0";"     0.0";"       0"
"10944";"T001540";"CRI1122";"GM0285";"2010JJ00";"      65";"      10";"       .";"       0";"     0.0";"       0"
"10945";"T001540";"CRI1122";"GM0285";"2011JJ00";"      95";"      16";"     4.1";"       5";"     3.1";"       5"
"10946";"T001540";"CRI1122";"GM0285";"2012JJ00";"      65";"      10";"       .";"       0";"     0.0";"       0"
"10947";"T001540";"CRI1122";"GM0285";"2013JJ00";"      70";"      12";"       .";"      10";"    11.8";"      15"
"10948";"T001540";"CRI1122";"GM0285";"2014JJ00";"      95";"      15";"     4.0";"       5";"     3.1";"       5"
"10949";"T001540";"CRI1122";"GM0285";"2015JJ00";"      55";"      12";"       .";"       0";"     0.0";"       0"
"10950";"T001540";"CRI1122";"GM0285";"2016JJ00";"     120";"      25";"     5.0";"       5";"     5.8";"       5"
"10951";"T001540";"CRI1122";"GM0285";"2017JJ00";"      50";"      15";"       .";"       5";"     7.7";"       5"
"10952";"T001540";"CRI1122";"GM0285";"2018JJ00";"      35";"      13";"       .";"       0";"     0.0";"       0"
"10953";"T001540";"CRI1122";"GM0285";"2019JJ00";"      20";"       8";"       .";"       0";"     0.0";"       0"
"10954";"T001540";"CRI1122";"GM0285";"2020JJ00";"      45";"      16";"       .";"       0";"     0.0";"       0"
"10955";"T001540";"CRI1122";"GM0285";"2021JJ00";"      50";"      21";"       .";"       5";"    10.2";"       5"
"10956";"T001540";"CRI1122";"GM0865";"2010JJ00";"     150";"      17";"     5.9";"       5";"     2.6";"       5"
"10957";"T001540";"CRI1122";"GM0865";"2011JJ00";"     175";"      23";"     6.9";"      10";"     5.7";"      10"
"10958";"T001540";"CRI1122";"GM0865";"2012JJ00";"     115";"      16";"     4.5";"       5";"     2.6";"       5"
"10959";"T001540";"CRI1122";"GM0865";"2013JJ00";"     115";"      18";"     4.6";"      20";"    17.1";"      25"
"10960";"T001540";"CRI1122";"GM0865";"2014JJ00";"     105";"      16";"     4.1";"      20";"    17.0";"      25"
"10961";"T001540";"CRI1122";"GM0865";"2015JJ00";"     105";"      17";"     4.0";"      15";"    12.5";"      15"
"10962";"T001540";"CRI1122";"GM0865";"2016JJ00";"     110";"      21";"     4.2";"      10";"    11.0";"      15"
"10963";"T001540";"CRI1122";"GM0865";"2017JJ00";"      90";"      20";"       .";"      10";"     8.7";"      10"
"10964";"T001540";"CRI1122";"GM0865";"2018JJ00";"      55";"      12";"       .";"       0";"     0.0";"       5"
"10965";"T001540";"CRI1122";"GM0865";"2019JJ00";"      40";"      12";"       .";"       0";"     0.0";"       0"
"10966";"T001540";"CRI1122";"GM0865";"2020JJ00";"      70";"      17";"       .";"       0";"     0.0";"       0"
"10967";"T001540";"CRI1122";"GM0865";"2021JJ00";"      60";"      17";"       .";"       0";"     0.0";"       0"
"10968";"T001540";"CRI1122";"GM1949";"2010JJ00";"";"";"";"";"";""
"10969";"T001540";"CRI1122";"GM1949";"2011JJ00";"";"";"";"";"";""
"10970";"T001540";"CRI1122";"GM1949";"2012JJ00";"";"";"";"";"";""
"10971";"T001540";"CRI1122";"GM1949";"2013JJ00";"";"";"";"";"";""
"10972";"T001540";"CRI1122";"GM1949";"2014JJ00";"";"";"";"";"";""
"10973";"T001540";"CRI1122";"GM1949";"2015JJ00";"";"";"";"";"";""
"10974";"T001540";"CRI1122";"GM1949";"2016JJ00";"";"";"";"";"";""
"10975";"T001540";"CRI1122";"GM1949";"2017JJ00";"";"";"";"";"";""
"10976";"T001540";"CRI1122";"GM1949";"2018JJ00";"      65";"      18";"       .";"       5";"     6.0";"       5"
"10977";"T001540";"CRI1122";"GM1949";"2019JJ00";"      55";"      12";"       .";"       0";"     0.0";"       0"
"10978";"T001540";"CRI1122";"GM1949";"2020JJ00";"      50";"      18";"       .";"       5";"     5.8";"       5"
"10979";"T001540";"CRI1122";"GM1949";"2021JJ00";"      30";"      14";"       .";"       5";"     9.7";"       5"
"10980";"T001540";"CRI1122";"GM0866";"2010JJ00";"      45";"      11";"       .";"       5";"     6.8";"       5"
"10981";"T001540";"CRI1122";"GM0866";"2011JJ00";"      50";"      13";"       .";"       0";"     0.0";"       0"
"10982";"T001540";"CRI1122";"GM0866";"2012JJ00";"      50";"      13";"       .";"       0";"     0.0";"       0"
"10983";"T001540";"CRI1122";"GM0866";"2013JJ00";"      35";"       8";"       .";"       0";"     0.0";"       0"
"10984";"T001540";"CRI1122";"GM0866";"2014JJ00";"      40";"      11";"       .";"       0";"     0.0";"       0"
"10985";"T001540";"CRI1122";"GM0866";"2015JJ00";"      50";"      14";"       .";"       0";"     0.0";"       0"
"10986";"T001540";"CRI1122";"GM0866";"2016JJ00";"      65";"      21";"       .";"       5";"     7.7";"       5"
"10987";"T001540";"CRI1122";"GM0866";"2017JJ00";"      30";"      12";"       .";"       0";"     0.0";"       0"
"10988";"T001540";"CRI1122";"GM0866";"2018JJ00";"      40";"      15";"       .";"       0";"     0.0";"       0"
"10989";"T001540";"CRI1122";"GM0866";"2019JJ00";"      20";"      10";"       .";"       0";"     0.0";"       0"
"10990";"T001540";"CRI1122";"GM0866";"2020JJ00";"      35";"      14";"       .";"       0";"     0.0";"       5"
"10991";"T001540";"CRI1122";"GM0866";"2021JJ00";"      25";"      12";"       .";"       0";"     0.0";"       5"
"10992";"T001540";"CRI1122";"GM0867";"2010JJ00";"     285";"      17";"     6.2";"       5";"     1.8";"       5"
"10993";"T001540";"CRI1122";"GM0867";"2011JJ00";"     200";"      13";"     4.3";"       5";"     1.5";"       5"
"10994";"T001540";"CRI1122";"GM0867";"2012JJ00";"     220";"      14";"     4.7";"       5";"     1.8";"      10"
"10995";"T001540";"CRI1122";"GM0867";"2013JJ00";"     135";"      10";"     2.9";"       5";"     2.2";"       5"
"10996";"T001540";"CRI1122";"GM0867";"2014JJ00";"     315";"      19";"     6.8";"      10";"     3.5";"      10"
"10997";"T001540";"CRI1122";"GM0867";"2015JJ00";"     260";"      17";"     5.6";"      15";"     5.0";"      15"
"10998";"T001540";"CRI1122";"GM0867";"2016JJ00";"     120";"      11";"     2.5";"       5";"     5.1";"      10"
"10999";"T001540";"CRI1122";"GM0867";"2017JJ00";"      95";"      10";"     2.0";"       5";"     5.2";"       5"
"11000";"T001540";"CRI1122";"GM0867";"2018JJ00";"      90";"      12";"       .";"       5";"     5.4";"       5"
"11001";"T001540";"CRI1122";"GM0867";"2019JJ00";"      60";"      10";"       .";"       0";"     0.0";"       5"
"11002";"T001540";"CRI1122";"GM0867";"2020JJ00";"      45";"       7";"       .";"       5";"     6.7";"       5"
"11003";"T001540";"CRI1122";"GM0867";"2021JJ00";"     115";"      19";"     2.4";"       0";"     0.0";"       5"
"11004";"T001540";"CRI1122";"GM0627";"2010JJ00";"      65";"      11";"       .";"       0";"     0.0";"       0"
"11005";"T001540";"CRI1122";"GM0627";"2011JJ00";"      75";"      11";"       .";"       0";"     0.0";"       0"
"11006";"T001540";"CRI1122";"GM0627";"2012JJ00";"      75";"      10";"       .";"       0";"     0.0";"       0"
"11007";"T001540";"CRI1122";"GM0627";"2013JJ00";"      90";"      13";"       .";"       0";"     0.0";"       5"
"11008";"T001540";"CRI1122";"GM0627";"2014JJ00";"      90";"      15";"       .";"       5";"     5.6";"      10"
"11009";"T001540";"CRI1122";"GM0627";"2015JJ00";"     135";"      23";"     5.3";"       5";"     4.4";"       5"
"11010";"T001540";"CRI1122";"GM0627";"2016JJ00";"     110";"      17";"     4.3";"      10";"     8.0";"      10"
"11011";"T001540";"CRI1122";"GM0627";"2017JJ00";"      55";"      13";"       .";"       0";"     0.0";"       0"
"11012";"T001540";"CRI1122";"GM0627";"2018JJ00";"      55";"      17";"       .";"       0";"     0.0";"       0"
"11013";"T001540";"CRI1122";"GM0627";"2019JJ00";"      95";"      25";"       .";"       5";"     4.3";"       5"
"11014";"T001540";"CRI1122";"GM0627";"2020JJ00";"      75";"      17";"       .";"       0";"     0.0";"       0"
"11015";"T001540";"CRI1122";"GM0627";"2021JJ00";"      75";"      21";"       .";"      10";"    13.3";"      10"
"11016";"T001540";"CRI1122";"GM0289";"2010JJ00";"     415";"      25";"    11.1";"      10";"     2.2";"      15"
"11017";"T001540";"CRI1122";"GM0289";"2011JJ00";"     385";"      25";"    10.6";"       5";"     1.0";"       5"
"11018";"T001540";"CRI1122";"GM0289";"2012JJ00";"     375";"      26";"    10.1";"      15";"     3.5";"      20"
"11019";"T001540";"CRI1122";"GM0289";"2013JJ00";"     455";"      32";"    12.1";"      20";"     4.8";"      35"
"11020";"T001540";"CRI1122";"GM0289";"2014JJ00";"     325";"      29";"     8.7";"      30";"     9.2";"      45"
"11021";"T001540";"CRI1122";"GM0289";"2015JJ00";"     200";"      25";"     5.2";"      15";"     6.6";"      15"
"11022";"T001540";"CRI1122";"GM0289";"2016JJ00";"     250";"      29";"     6.6";"       5";"     1.6";"       5"
"11023";"T001540";"CRI1122";"GM0289";"2017JJ00";"     145";"      24";"     3.7";"       5";"     3.5";"       5"
"11024";"T001540";"CRI1122";"GM0289";"2018JJ00";"     165";"      26";"     4.3";"       5";"     2.4";"       5"
"11025";"T001540";"CRI1122";"GM0289";"2019JJ00";"     150";"      26";"     3.8";"      10";"     6.8";"      10"
"11026";"T001540";"CRI1122";"GM0289";"2020JJ00";"     145";"      23";"     3.7";"      10";"     8.2";"      15"
"11027";"T001540";"CRI1122";"GM0289";"2021JJ00";"     125";"      28";"     3.2";"       5";"     2.4";"       5"
"11028";"T001540";"CRI1122";"GM0629";"2010JJ00";"      70";"       9";"       .";"       5";"     8.7";"      10"
"11029";"T001540";"CRI1122";"GM0629";"2011JJ00";"      80";"      10";"       .";"       5";"     3.7";"      10"
"11030";"T001540";"CRI1122";"GM0629";"2012JJ00";"      90";"      10";"       .";"       5";"     5.6";"       5"
"11031";"T001540";"CRI1122";"GM0629";"2013JJ00";"      70";"      11";"       .";"       0";"     0.0";"       0"
"11032";"T001540";"CRI1122";"GM0629";"2014JJ00";"      85";"      12";"       .";"       5";"     6.0";"       5"
"11033";"T001540";"CRI1122";"GM0629";"2015JJ00";"      75";"      13";"       .";"      10";"    10.7";"      15"
"11034";"T001540";"CRI1122";"GM0629";"2016JJ00";"      50";"      10";"       .";"       0";"     0.0";"       0"
"11035";"T001540";"CRI1122";"GM0629";"2017JJ00";"      55";"      12";"       .";"       0";"     0.0";"       0"
"11036";"T001540";"CRI1122";"GM0629";"2018JJ00";"      30";"       9";"       .";"       0";"     0.0";"       0"
"11037";"T001540";"CRI1122";"GM0629";"2019JJ00";"      40";"      10";"       .";"       0";"     0.0";"       0"
"11038";"T001540";"CRI1122";"GM0629";"2020JJ00";"      40";"      12";"       .";"       0";"     0.0";"       0"
"11039";"T001540";"CRI1122";"GM0629";"2021JJ00";"      35";"      11";"       .";"      10";"    24.2";"      10"
"11040";"T001540";"CRI1122";"GM0852";"2010JJ00";"      35";"       9";"       .";"       0";"     0.0";"       5"
"11041";"T001540";"CRI1122";"GM0852";"2011JJ00";"      40";"      10";"       .";"       0";"     0.0";"       0"
"11042";"T001540";"CRI1122";"GM0852";"2012JJ00";"      30";"       9";"       .";"       0";"     0.0";"       0"
"11043";"T001540";"CRI1122";"GM0852";"2013JJ00";"      35";"      10";"       .";"       0";"     0.0";"       0"
"11044";"T001540";"CRI1122";"GM0852";"2014JJ00";"      20";"       9";"       .";"       0";"     0.0";"       0"
"11045";"T001540";"CRI1122";"GM0852";"2015JJ00";"      30";"      11";"       .";"       0";"     0.0";"       0"
"11046";"T001540";"CRI1122";"GM0852";"2016JJ00";"      55";"      23";"       .";"       0";"     0.0";"       0"
"11047";"T001540";"CRI1122";"GM0852";"2017JJ00";"      25";"      12";"       .";"       0";"     0.0";"       0"
