"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"6058";"T001540";"CRI1122";"PV28  ";"2020JJ00";"   15005";"      19";"     4.0";"     475";"     3.2";"     605"
"6059";"T001540";"CRI1122";"PV28  ";"2021JJ00";"   13515";"      20";"     3.6";"     425";"     3.1";"     550"
"6060";"T001540";"CRI1122";"PV29  ";"2010JJ00";"    2200";"      21";"     5.8";"      70";"     3.1";"      95"
"6061";"T001540";"CRI1122";"PV29  ";"2011JJ00";"    2160";"      20";"     5.7";"      90";"     4.1";"     120"
"6062";"T001540";"CRI1122";"PV29  ";"2012JJ00";"    1800";"      18";"     4.7";"      80";"     4.5";"     120"
"6063";"T001540";"CRI1122";"PV29  ";"2013JJ00";"    1660";"      18";"     4.4";"      60";"     3.6";"      75"
"6064";"T001540";"CRI1122";"PV29  ";"2014JJ00";"    1500";"      19";"     3.9";"      55";"     3.8";"      85"
"6065";"T001540";"CRI1122";"PV29  ";"2015JJ00";"    1380";"      19";"     3.6";"      70";"     5.1";"      90"
"6066";"T001540";"CRI1122";"PV29  ";"2016JJ00";"    1280";"      19";"     3.4";"      80";"     6.4";"     105"
"6067";"T001540";"CRI1122";"PV29  ";"2017JJ00";"     860";"      17";"     2.3";"      65";"     7.4";"      80"
"6068";"T001540";"CRI1122";"PV29  ";"2018JJ00";"     730";"      17";"     1.9";"      55";"     7.8";"      70"
"6069";"T001540";"CRI1122";"PV29  ";"2019JJ00";"     840";"      18";"     2.2";"      60";"     7.3";"      95"
"6070";"T001540";"CRI1122";"PV29  ";"2020JJ00";"     685";"      16";"     1.8";"      35";"     5.4";"      45"
"6071";"T001540";"CRI1122";"PV29  ";"2021JJ00";"     765";"      21";"     2.0";"      35";"     4.5";"      50"
"6072";"T001540";"CRI1122";"PV30  ";"2010JJ00";"   16930";"      17";"     6.9";"     685";"     4.0";"    1010"
"6073";"T001540";"CRI1122";"PV30  ";"2011JJ00";"   16695";"      17";"     6.8";"     620";"     3.7";"     835"
"6074";"T001540";"CRI1122";"PV30  ";"2012JJ00";"   16990";"      17";"     6.9";"     605";"     3.6";"     790"
